property_id,sale_date,area_size_sqft,bedrooms,bathrooms,location_score,property_age,distance_city_km,near_school,near_metro,crime_rate_index,house_property_price_inr
200099,2010-08-01,1644,4,4,5.6,62,22.3,0,1,4.74,15744355
200100,2022-01-01,2148,4,3,4.4,28,11.4,0,1,3.95,23096569
200101,2023-10-01,1278,3,3,7.7,52,15.9,1,0,3.54,16069668
200102,2021-05-01,1496,4,3,6.3,20,10.5,1,1,0.9,22145965
200103,2019-01-01,2395,5,3,6.9,32,12.3,1,0,4.85,25223779
200104,2019-04-01,897,1,1,7.2,26,7.5,1,0,4.01,11477327
200105,2022-12-01,1556,2,2,7.4,25,1.4,0,1,6.29,23871304
200106,2013-03-01,1837,4,2,6.0,21,5.7,0,0,3.17,21044432
200107,2022-01-01,967,2,2,6.5,30,21.0,1,0,2.97,12139246
200108,2014-12-01,1743,3,1,5.9,29,10.3,0,0,6.65,19392163
200109,2015-03-01,1563,2,1,5.9,24,24.7,1,0,1.62,16319307
200110,2022-02-01,2429,4,4,7.8,15,5.5,0,1,3.47,30155121
200111,2021-05-01,1577,2,3,7.1,7,10.0,1,0,0.5,25207971
200112,2013-12-01,1893,5,5,4.1,25,22.6,1,1,1.43,21093985
200113,2010-12-01,1871,4,3,5.0,30,11.5,1,1,3.7,17707278
200114,2014-04-01,1604,3,2,5.1,26,21.4,1,0,5.39,14831705
200115,2021-11-01,1639,4,3,5.5,7,20.3,0,0,3.55,18177426
200116,2018-09-01,2144,4,4,7.6,21,16.6,0,0,8.32,24217283
200117,2020-11-01,2538,4,3,7.0,9,11.8,0,0,3.47,29329971
200118,2020-02-01,1460,4,4,5.0,26,19.0,1,1,6.13,13152500
200119,2016-03-01,1466,5,5,5.9,22,9.8,0,1,2.7,17937568
200120,2021-04-01,1241,1,1,5.0,58,25.0,1,0,3.85,11240336
200121,2017-11-01,1458,4,3,5.2,22,21.4,1,0,0.5,15865566
200122,2023-11-01,1191,3,3,4.6,24,15.8,1,0,5.81,8969469
200123,2012-06-01,1739,3,2,7.4,18,19.5,0,0,4.9,16499736
200124,2017-12-01,1723,4,4,7.2,15,7.8,1,1,5.59,23086679
200125,2013-10-01,1399,3,3,5.7,14,19.2,1,0,3.16,13679724
200126,2023-08-01,1416,3,2,6.8,39,17.2,1,0,6.46,15536564
200127,2022-07-01,2885,7,6,7.3,10,15.0,1,0,2.36,39236694
200128,2022-06-01,2030,4,3,5.6,45,9.3,0,1,1.96,20600861
200129,2023-04-01,1837,4,3,7.7,8,3.5,0,0,3.17,28789189
200130,2018-08-01,2614,4,4,7.2,14,11.4,0,1,2.05,38212090
200131,2016-08-01,1039,3,3,4.4,25,19.9,0,0,2.84,8817901
200132,2016-06-01,1638,3,2,7.1,15,15.4,1,1,4.28,18531468
200133,2015-07-01,2406,4,3,5.1,28,16.1,1,0,1.52,26260113
200134,2016-01-01,1986,4,4,6.5,33,1.0,0,1,2.02,26781969
200135,2015-11-01,2030,5,3,7.3,19,6.4,1,1,4.21,26819570
200136,2022-12-01,1750,4,4,3.4,21,21.7,1,1,4.56,14332843
200137,2021-10-01,1772,3,1,4.9,60,7.5,1,0,4.25,16586876
200138,2017-03-01,2631,4,3,4.9,37,15.9,1,1,3.3,22203420
200139,2011-09-01,2825,6,5,3.9,22,32.2,0,1,4.35,25981879
200140,2020-04-01,1512,3,3,9.0,29,6.2,1,1,3.76,20983592
200141,2015-02-01,1546,4,3,7.4,40,7.1,0,0,4.36,19580256
200142,2014-12-01,1029,3,2,7.5,26,13.9,1,1,7.01,12299592
200143,2014-05-01,1592,5,4,8.9,3,1.5,0,0,1.2,27052653
200144,2019-09-01,1235,3,2,4.7,19,16.1,1,1,7.28,13029155
200145,2019-03-01,1706,4,4,6.1,11,14.4,0,1,4.34,20124915
200146,2023-04-01,2224,5,5,5.1,48,7.0,0,0,4.39,20439633
200147,2020-02-01,1446,4,3,5.9,23,17.6,1,0,1.84,18175958
200148,2010-12-01,1844,3,3,5.9,16,14.6,1,0,7.12,21711507
200149,2022-01-01,1334,3,3,6.8,3,12.3,1,0,1.02,18792452
200150,2016-07-01,2088,4,3,10.0,9,1.8,1,0,5.8,37982722
200151,2012-11-01,1966,3,3,8.3,38,11.9,1,1,0.65,28391056
200152,2022-11-01,1297,2,2,6.0,5,13.8,0,0,3.47,15283124
200153,2016-09-01,983,2,1,4.6,6,12.1,1,1,5.32,11355740
200154,2018-12-01,1850,3,3,8.5,43,9.3,1,0,6.09,23769472
200155,2012-01-01,750,1,2,5.2,11,17.0,0,0,4.42,7322728
200156,2021-01-01,1729,3,3,9.2,24,1.0,0,1,5.81,26897297
200157,2020-03-01,1991,4,4,3.1,7,20.2,1,1,3.31,15914695
200158,2014-06-01,500,1,2,5.4,22,23.9,0,0,3.15,3834943
200159,2011-02-01,1652,3,4,4.0,26,14.7,0,1,0.78,14587668
200160,2023-04-01,1892,4,3,6.0,22,14.7,1,1,5.13,21928355
200161,2016-01-01,1964,3,2,6.7,31,13.1,0,0,3.98,26016483
200162,2020-03-01,1158,2,1,6.3,6,8.0,1,1,4.9,16770050
200163,2011-06-01,1892,3,3,7.3,29,3.9,1,0,7.57,23394976
200164,2015-03-01,1906,5,4,5.6,22,18.4,0,1,5.37,20864556
200165,2011-03-01,1960,4,4,5.5,31,15.6,0,1,3.22,21757599
200166,2016-07-01,1541,4,4,3.8,15,17.2,0,0,4.51,13195598
200167,2022-04-01,2178,3,3,5.3,27,14.0,1,0,4.82,25335496
200168,2019-01-01,2281,5,4,9.0,21,2.2,1,0,3.16,35592786
200169,2018-01-01,2842,7,5,4.4,21,30.0,0,1,5.01,32105390
200170,2022-06-01,1821,4,3,6.9,17,11.8,1,1,5.06,29686941
200171,2016-01-01,1843,4,4,9.9,9,1.0,1,0,3.0,31946625
200172,2015-10-01,1631,3,3,2.3,9,20.7,1,0,0.5,10150563
200173,2019-09-01,2537,5,4,4.6,11,19.7,1,1,5.58,25713987
200174,2017-04-01,1399,3,2,10.0,6,1.0,1,0,5.19,25318099
200175,2015-07-01,1716,4,3,6.6,18,8.6,0,1,3.63,23507944
200176,2014-06-01,2308,5,4,7.7,21,8.1,1,1,5.8,30379260
200177,2021-05-01,1943,5,3,8.3,40,2.4,0,0,4.29,21793981
200178,2022-08-01,1834,2,2,5.5,25,12.8,1,1,0.5,18772768
200179,2019-09-01,1784,2,3,9.9,6,9.0,1,0,3.8,30986701
200180,2021-12-01,1850,3,2,7.8,24,9.2,0,1,0.57,26440531
200181,2016-09-01,1860,3,2,6.6,16,11.8,1,0,5.84,22807283
200182,2018-04-01,2359,6,4,6.5,22,12.0,1,0,0.8,33547764
200183,2011-07-01,2103,5,4,7.7,18,17.3,1,0,3.59,27602094
200184,2015-11-01,989,2,2,9.2,41,1.0,0,1,2.61,15389581
200185,2015-11-01,1134,2,2,9.1,8,1.0,1,1,2.88,20064979
200186,2021-10-01,2276,5,5,6.6,13,9.8,1,1,6.41,35155172
200187,2022-02-01,2527,5,4,4.3,25,12.6,1,0,2.58,25565244
200188,2018-07-01,1769,3,4,4.2,26,23.1,1,1,3.79,18111503
200189,2013-10-01,1337,2,2,5.3,16,20.3,1,0,5.17,11351647
200190,2017-03-01,2458,5,4,7.1,24,8.1,1,0,2.51,35531361
200191,2017-05-01,2106,4,4,5.6,15,16.3,1,0,1.34,24285744
200192,2019-05-01,1916,5,5,7.7,13,11.8,0,1,3.71,30205872
200193,2022-04-01,1030,3,3,4.9,57,17.3,0,0,4.74,9156952
200194,2022-06-01,1178,3,3,7.2,20,2.7,1,1,1.89,16747270
200195,2023-11-01,873,2,2,5.8,52,22.7,0,0,0.71,8774855
200196,2014-02-01,1599,2,3,5.8,14,11.0,1,1,3.43,17126050
200197,2017-01-01,2002,5,3,2.8,18,16.7,0,1,1.4,17358936
200198,2015-09-01,1308,3,4,4.4,4,3.9,0,0,6.26,11696494
200199,2020-12-01,753,2,2,9.0,14,14.5,1,0,4.71,11009128
200200,2019-06-01,1468,4,3,7.6,28,10.5,0,0,7.62,20445573
200201,2016-11-01,1451,3,2,3.7,17,17.9,0,0,3.75,12459403
200202,2021-01-01,1142,3,3,7.9,23,12.3,1,1,4.36,15342862
200203,2021-04-01,1980,4,3,10.0,12,1.0,1,1,4.91,32416851
200204,2012-01-01,2427,6,5,9.6,16,8.0,1,1,6.1,38129574
200205,2022-08-01,2004,4,4,7.1,30,13.8,1,1,2.01,28750005
200206,2010-11-01,2029,4,3,7.3,19,8.5,1,0,2.75,27777917
200207,2015-11-01,1142,3,4,5.4,24,12.4,0,1,3.44,10456422
200208,2013-06-01,2083,3,2,4.3,3,15.1,1,0,1.9,23633501
200209,2023-10-01,1642,3,2,9.3,17,2.4,0,0,10.85,24145623
200210,2010-10-01,1663,3,1,6.5,18,19.0,1,1,4.5,20036170
200211,2015-03-01,922,1,1,5.0,19,23.3,1,0,5.56,7899521
200212,2017-06-01,1860,3,3,6.7,12,16.3,1,0,7.75,20094394
200213,2011-01-01,1255,3,3,3.1,23,16.1,1,0,3.88,10963511
200214,2023-12-01,2371,6,5,6.5,36,12.7,1,0,2.95,34730369
200215,2018-01-01,1423,3,2,7.6,3,5.3,0,0,4.52,20912427
200216,2014-11-01,824,2,1,8.0,14,8.6,1,0,2.3,11927410
200217,2021-11-01,1395,3,3,4.6,40,18.6,1,0,4.4,13754136
200218,2023-08-01,1367,3,3,7.6,10,16.0,1,1,2.04,17001111
200219,2019-12-01,1336,3,2,10.0,12,8.1,0,0,3.08,23469987
200220,2020-06-01,1664,2,2,6.8,18,15.1,0,1,3.71,24001967
200221,2010-05-01,1710,3,3,7.2,15,9.6,1,1,4.95,22156696
200222,2012-08-01,1647,2,2,7.5,35,19.9,0,0,2.87,21773343
200223,2010-05-01,1974,3,3,4.4,17,16.2,1,1,3.57,15951464
200224,2017-06-01,1620,4,3,4.2,20,20.3,1,0,4.99,14767452
200225,2016-02-01,826,1,2,5.6,39,16.3,0,0,5.04,7395127
200226,2012-07-01,2105,4,3,6.5,32,9.7,1,0,3.54,22540482
200227,2019-09-01,1801,3,3,5.8,23,17.2,1,0,4.57,20065951
200228,2019-02-01,1515,3,2,5.8,30,17.2,1,1,4.22,17470822
200229,2023-01-01,771,2,1,7.7,6,5.2,1,0,4.06,11143221
200230,2015-06-01,1296,2,1,8.5,19,11.0,0,1,4.75,18196914
200231,2021-08-01,957,1,2,3.6,26,28.5,1,1,4.62,7397116
200232,2011-03-01,1638,3,2,4.1,32,21.4,1,0,5.89,14564769
200233,2010-08-01,939,2,2,6.4,12,10.8,0,1,5.04,11290670
200234,2010-02-01,2437,4,3,6.2,36,23.1,0,0,3.14,29389444
200235,2019-05-01,1782,3,2,8.4,14,12.0,0,0,5.15,30597387
200236,2011-01-01,2029,5,4,8.6,8,11.9,1,0,2.8,32972111
200237,2011-03-01,1392,2,1,5.1,47,20.0,1,1,3.77,13603391
200238,2015-09-01,500,2,2,9.4,17,5.1,1,1,3.37,7314457
200239,2013-01-01,2824,6,4,8.6,13,1.7,0,0,4.4,44983063
200240,2012-04-01,2444,6,5,5.8,25,12.6,0,1,6.51,31044115
200241,2010-10-01,1484,4,4,8.1,11,7.3,1,0,7.27,19200419
200242,2023-01-01,1942,4,3,6.0,49,14.1,1,0,6.68,22888039
200243,2020-01-01,2630,6,4,4.9,16,17.2,1,0,1.89,30631355
200244,2020-04-01,2207,4,5,7.8,14,12.7,0,0,4.6,30060451
200245,2014-04-01,1169,1,2,6.0,34,15.1,1,1,4.49,12026031
200246,2020-11-01,1502,2,1,8.3,23,3.8,1,1,0.9,24515004
200247,2021-11-01,2472,6,6,5.9,28,11.2,0,1,7.34,30310036
200248,2022-02-01,2756,4,3,8.6,11,7.6,1,0,4.33,40730079
200249,2018-07-01,2039,3,2,4.7,17,12.5,1,0,7.61,17577752
200250,2017-12-01,1803,4,3,4.8,12,9.9,0,1,4.58,17873191
200251,2011-09-01,2255,6,4,6.1,7,9.7,1,1,4.84,29759170
200252,2014-02-01,2093,5,5,6.1,20,11.0,0,1,3.57,27553101
200253,2019-12-01,2851,5,5,5.3,42,26.3,0,0,5.56,30329205
200254,2022-09-01,1688,3,3,5.7,27,10.7,0,0,5.98,18450495
200255,2013-06-01,1670,4,3,6.8,36,11.3,0,0,4.21,17113308
200256,2016-04-01,1467,2,2,5.7,26,15.4,1,0,3.49,14686338
200257,2020-08-01,2588,5,5,8.5,39,10.8,1,1,0.63,38540311
200258,2022-10-01,1433,2,2,9.1,21,8.6,0,1,2.55,20005091
200259,2017-10-01,1957,5,5,9.0,9,9.1,1,1,9.98,24526045
200260,2011-04-01,1568,3,2,8.5,15,7.6,1,0,3.12,19370236
200261,2010-02-01,2319,5,3,5.0,32,18.3,1,1,1.88,23609228
200262,2012-04-01,2243,3,2,5.9,18,10.5,1,1,6.73,24969694
200263,2017-12-01,1714,4,3,4.8,39,27.4,0,1,9.94,15772611
200264,2022-08-01,2149,5,4,5.0,9,20.4,1,0,3.09,27509252
200265,2010-11-01,1511,3,2,6.3,15,9.7,0,1,4.9,16058511
200266,2010-05-01,1702,4,3,8.2,14,8.7,1,0,5.47,25506997
200267,2022-03-01,2573,5,3,3.2,80,22.1,0,0,5.61,17475726
200268,2019-08-01,2073,3,3,6.0,13,14.5,1,0,6.49,23254917
200269,2018-12-01,989,2,1,6.0,27,13.2,0,0,3.54,11362502
200270,2012-03-01,1563,3,3,5.2,23,15.0,1,0,1.13,16838814
200271,2010-04-01,1308,2,2,9.2,21,1.0,1,0,4.76,16669976
200272,2021-01-01,1963,4,4,6.2,17,1.7,1,1,2.06,20654391
200273,2015-03-01,1197,3,3,3.4,32,17.2,1,0,5.42,9032707
200274,2015-09-01,1371,3,2,5.9,35,18.4,0,1,3.15,14027376
200275,2010-11-01,2305,5,4,5.9,20,14.2,1,0,1.0,24478198
200276,2019-04-01,782,2,1,4.7,26,21.8,1,0,5.67,6886642
200277,2021-05-01,2411,3,1,6.3,10,3.6,1,1,5.36,30854427
200278,2020-10-01,1526,2,1,7.0,28,10.8,1,0,6.37,20462812
200279,2010-08-01,2015,4,2,4.2,14,22.5,0,1,1.47,18832724
200280,2018-06-01,1968,3,2,7.2,21,6.7,1,1,2.26,25521610
200281,2014-02-01,982,2,2,2.8,46,19.1,0,1,4.4,5425959
200282,2015-08-01,2111,4,3,4.4,16,16.1,0,1,4.65,17692803
200283,2022-01-01,1230,3,2,3.0,23,20.7,1,1,6.1,9152007
200284,2021-11-01,1813,4,4,7.1,26,11.2,0,0,0.75,24413297
200285,2023-09-01,500,2,2,6.2,25,7.7,0,1,2.12,6411398
200286,2011-08-01,2370,4,3,8.6,16,1.0,0,0,7.0,36646607
200287,2023-11-01,1768,4,4,6.3,32,14.0,1,1,5.26,21042857
200288,2020-08-01,1586,4,3,5.7,25,11.7,0,0,1.04,18566221
200289,2014-02-01,2164,5,4,5.3,27,14.4,1,1,5.38,24701372
200290,2010-12-01,2006,3,2,2.3,23,32.0,1,0,8.31,12851732
200291,2017-05-01,2527,5,4,4.6,25,15.4,0,1,3.59,26381703
200292,2022-11-01,1732,3,2,3.6,25,17.2,1,1,3.66,15600228
200293,2020-06-01,1751,4,3,4.3,10,10.8,0,0,2.84,16913277
200294,2012-11-01,2137,4,4,6.3,17,16.7,1,0,5.37,26321139
200295,2010-02-01,2141,4,4,7.6,7,8.7,0,0,4.79,28084693
200296,2023-09-01,1802,4,2,9.0,72,1.0,1,1,2.95,21573925
200297,2013-04-01,2293,4,3,8.3,25,4.3,1,1,3.98,31239935
200298,2019-07-01,1119,2,2,7.4,52,11.8,0,1,4.58,13905348
200299,2023-02-01,2283,5,4,5.3,29,10.3,0,0,7.78,23616033
200300,2018-09-01,2445,5,5,5.1,25,26.5,1,0,5.58,30272317
200301,2013-09-01,981,2,2,6.7,28,17.8,1,1,5.31,9699515
200302,2017-05-01,2163,4,3,5.7,15,13.3,1,1,6.2,22726194
200303,2011-05-01,1852,3,2,7.2,14,11.4,1,1,6.1,27604162
200304,2020-09-01,2195,4,3,10.0,65,4.0,1,0,4.34,38736636
200305,2010-02-01,1076,2,1,9.8,41,2.0,1,1,5.5,16795398
200306,2011-06-01,1349,2,1,7.3,5,19.1,0,0,5.6,18090558
200307,2021-05-01,837,1,1,6.2,25,16.3,0,1,1.9,9512872
200308,2021-07-01,1790,4,3,7.3,24,4.2,1,0,2.51,20491123
200309,2014-02-01,1843,3,4,6.5,26,20.3,1,1,5.12,22173452
200310,2016-11-01,1974,3,2,7.4,37,7.0,1,1,5.67,24540313
200311,2023-11-01,2981,6,5,7.4,17,11.7,1,0,8.28,42561452
200312,2021-04-01,1082,2,3,7.3,17,12.6,1,1,4.1,13520657
200313,2011-07-01,1244,3,2,3.7,33,25.8,0,1,9.58,8311996
200314,2023-12-01,1683,4,5,6.3,18,8.8,1,0,3.92,19447378
200315,2022-12-01,2826,5,4,9.2,32,3.6,0,0,1.52,42617883
200316,2021-01-01,951,2,2,5.2,10,12.0,1,0,7.43,9138633
200317,2022-04-01,2101,4,3,4.5,26,16.3,1,1,5.9,20271306
200318,2010-08-01,1706,4,3,8.3,17,13.5,1,0,5.96,24806727
200319,2011-01-01,2039,5,3,5.4,31,5.8,0,1,3.23,22718689
200320,2020-04-01,500,1,1,7.7,12,6.7,0,0,6.64,6298189
200321,2020-02-01,2227,5,4,7.3,55,7.8,1,0,5.08,27687118
200322,2010-06-01,1529,4,3,6.5,34,12.6,1,1,4.31,16125796
200323,2022-12-01,1667,4,3,8.2,27,1.0,0,0,2.94,24133476
200324,2021-07-01,2216,5,3,5.9,46,19.4,1,0,6.45,26503294
200325,2011-04-01,1556,4,4,6.5,42,14.4,1,1,7.46,15293176
200326,2018-12-01,902,2,2,6.3,11,13.6,1,1,1.6,12160149
200327,2014-09-01,1399,3,2,6.5,34,21.4,1,1,3.11,16236535
200328,2011-05-01,2408,5,4,5.9,40,28.3,1,1,3.63,22733819
200329,2016-04-01,1759,5,5,7.0,19,11.5,0,0,4.35,24975446
200330,2018-03-01,1042,2,1,7.2,7,8.2,1,1,0.5,12694078
200331,2015-12-01,3662,7,6,3.2,25,16.5,0,1,4.34,29708454
200332,2012-11-01,819,2,2,9.7,25,1.0,0,1,7.84,13314265
200333,2022-05-01,1956,3,2,4.4,8,18.9,1,1,0.5,20518552
200334,2014-03-01,1544,1,1,7.1,6,15.4,1,0,3.21,19127842
200335,2022-12-01,2135,3,3,4.5,9,13.3,1,0,1.67,21398191
200336,2017-05-01,1101,3,3,5.9,19,14.7,1,1,2.4,12933839
200337,2014-06-01,1779,3,3,6.1,23,17.4,1,0,2.37,21128229
200338,2021-02-01,1382,1,2,7.0,52,5.8,0,0,4.12,14920418
200339,2011-12-01,1623,3,2,4.8,46,14.4,0,0,4.77,14996858
200340,2012-04-01,2384,5,3,6.7,21,12.8,1,0,3.56,32174362
200341,2018-11-01,2098,4,4,5.4,32,14.4,0,0,3.18,19203562
200342,2015-01-01,1596,3,3,10.0,9,6.1,1,1,0.5,25525240
200343,2012-10-01,849,2,2,5.8,14,20.1,1,0,4.01,8261302
200344,2019-10-01,1529,3,2,5.5,29,17.1,1,0,4.81,16014259
200345,2016-11-01,1404,4,3,8.1,24,1.0,1,1,2.49,18920897
200346,2012-10-01,500,1,1,5.2,34,19.3,0,1,6.26,3092657
200347,2015-07-01,1962,4,3,4.7,5,15.2,1,0,4.35,21045447
200348,2017-10-01,1953,5,4,5.4,16,9.7,0,0,5.27,19961829
200349,2017-10-01,1527,4,4,5.3,31,13.4,0,1,5.27,14212755
200350,2015-01-01,872,2,2,3.2,14,15.4,0,0,5.25,6082517
200351,2015-08-01,1474,1,1,6.5,23,13.5,0,1,0.5,16540944
200352,2016-01-01,908,2,1,4.2,5,13.6,0,1,1.84,9774357
200353,2023-11-01,1556,2,2,4.7,23,21.2,1,1,5.72,16808619
200354,2010-04-01,2032,4,3,8.4,33,16.1,0,0,3.18,30306634
200355,2020-10-01,800,1,1,4.7,31,18.3,1,1,1.27,8463759
200356,2016-10-01,1845,4,4,5.5,16,18.6,1,0,0.5,21553928
